timestamp,offset_from_now,heap_free,log_loss,ucm_loss,board_temperature,mcu_temperature,voltage_12,voltage_24,voltage_5,lifetime,h2_total,h2_flow,stack_runtime,stack_cycles,electrolyte_replacement_time,F103A_in_rpm,F103A_out_pwm,F104B_in_rpm,F108C_in_rpm,F108C_out_pwm,FM106_in_lmin,HASS_in_a,HASS_in_v,P107_out_v,PSU_in_v,PSU_out_v,PT101A_in_bar,PT101A_in_v,PT101C_in_bar,PT101C_in_v,PT105_in_bar,TT102A_in_c,TT106_in_c,TE109_in_c,production_rate,BAT_in_v,WLC1_in,HT104_in_v,TE108_in_c,SafetyBoard_LastCode,depressurization_slope,pressurization_slope,pressurization_slope_ratio,psu_temperature,psu_air_temperature,psu_board_current,psu_board_voltage,DEBUG1_in,DEBUG2_in,DEBUG3_in,DEBUG4_in,DEBUG5_in,DEBUG6_in,DEBUG7_in,DEBUG8_in,cell_1_v,cell_2_v,cell_3_v,cell_4_v,cell_5_v,cell_6_v,cell_7_v,cell_8_v,cell_9_v,cell_10_v,cell_11_v,cell_12_v,cell_13_v,cell_14_v,cell_15_v,cell_16_v,cell_17_v,cell_18_v,cell_19_v,cell_20_v,cell_21_v,cell_22_v,cell_23_v,errors,errors_exists,warnings,warnings_exists,system,alerts,waterrefilling,stack,state,electrolyser,service,hvac,recombiner,curve,start_button,locate,eth_ip,ui_state,leds_green,leds_yellow,leds_red,F103A_out_power,H102_out_power,H109_out_power,LSH102B_in,LSHH102A_in,LSL102D_in,LSM102C_in,P107_out_power,PSU_out_power,TSH106_in,TSLL102B_in,V101_out_open,V105_out_open,V106_out_open,WPS104_in,PSH102_in,PSHH101B_in,DRYCONTACT_in,RELAY_STATUS_in_open,SB_DRYCONTACT_in_open,SB_RELAY_STATUS_in_open,SB_WRITE_EN_in_enabled,SB_FANDIAG_out_activated,SB_WPSDIAG_out_activated,SB_RELAY0_out_open,SB_PSU_EN_out_power
2023-11-30 13:36:00 +0000,0.0,97188.0,0.0,0.0,28.339,27.856,11.888,23.532,5.013,2906.288,78.929,511.644,1316.308,4.0,355.0,0.0,0.0,4052.308,0.0,20.0,3.98,53.2,2.256,2.749,41.556,2.842,28.746,,0.024,1.002,3.136,36.519,37.364,,100.0,3.248,,0.342,29.281,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:37:00 +0000,0.0,97188.0,0.0,0.0,28.392,27.856,11.889,23.532,5.013,2966.725,87.461,511.928,1376.255,4.0,355.0,0.0,0.0,4058.824,0.0,20.0,3.986,53.229,2.257,2.749,41.401,2.825,28.758,,0.025,1.002,3.132,37.784,38.579,,100.0,3.248,,0.341,29.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:38:00 +0000,0.0,97188.0,0.0,0.0,28.45,27.893,11.888,23.532,5.013,3026.538,95.993,511.955,1436.308,4.0,355.0,0.0,0.0,4061.538,0.0,20.0,3.997,53.232,2.257,2.749,41.261,2.811,28.755,,0.025,1.002,3.127,38.963,39.717,,100.0,3.248,,0.352,29.847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:39:00 +0000,0.0,97188.0,0.0,0.0,28.557,27.973,11.888,23.532,5.013,3086.412,104.525,511.884,1496.235,4.0,355.0,0.0,0.0,4072.941,0.0,20.0,4.004,53.225,2.257,2.749,41.136,2.799,28.754,,0.026,1.002,3.122,40.077,40.817,,100.0,3.248,,0.366,30.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:40:00 +0000,0.0,97188.0,0.0,0.0,28.724,28.096,11.888,23.531,5.013,3146.346,113.055,511.584,1556.269,4.0,355.0,0.0,0.0,4077.115,0.0,20.0,4.013,53.193,2.255,2.749,41.02,2.788,28.77,,0.026,1.002,3.117,41.138,41.867,,100.0,3.248,,0.369,30.483,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:41:00 +0000,0.0,97188.0,0.0,0.0,28.885,28.216,11.887,23.53,5.013,3206.176,121.581,511.448,1616.235,4.0,355.0,0.0,0.0,4080.0,0.0,20.0,4.025,53.179,2.255,2.749,40.914,2.776,28.76,,0.026,1.002,3.112,42.185,42.869,,100.0,3.247,,0.37,30.735,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:42:00 +0000,0.0,97188.0,0.0,0.0,29.05,28.347,11.887,23.529,5.013,3266.038,130.105,511.356,1676.231,4.0,355.0,0.0,0.0,4080.0,0.0,20.0,4.031,53.17,2.254,2.749,40.815,2.766,28.79,,0.027,1.002,3.107,43.211,43.839,,100.0,3.247,,0.37,31.016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:43:00 +0000,0.0,97188.0,0.0,0.0,29.228,28.472,11.887,23.529,5.013,3325.98,138.627,511.243,1736.216,4.0,355.0,0.0,0.0,4080.0,0.0,20.0,4.035,53.158,2.254,2.749,40.723,2.756,28.795,,0.026,1.002,3.101,44.138,44.762,,100.0,3.247,,0.367,31.272,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,true,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:44:00 +0000,0.0,97188.0,0.0,0.0,29.429,28.671,11.886,23.55,5.013,3386.327,147.147,511.08,1796.212,4.0,355.0,0.0,0.0,4080.0,0.0,20.0,4.048,53.141,2.253,2.749,40.637,2.747,28.793,,0.027,1.002,3.096,45.063,45.602,,100.0,3.247,,0.365,31.606,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,false,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
2023-11-30 13:45:00 +0000,0.0,97188.0,0.0,0.0,29.622,28.833,11.886,23.564,5.013,3446.627,155.664,510.878,1856.235,4.0,355.0,0.0,0.0,4080.0,0.0,20.0,4.06,53.12,2.253,2.749,40.584,2.742,28.805,,0.029,1.002,3.091,45.677,46.1,,100.0,3.247,,0.364,31.828,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",false,"",false,operation,"",idle,steady,steady,steady,idle,management,,idle,,false,,none,,,,false,false,,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,true
